  No    Ref    V       B-V     U-B
 5732   158  14.510   0.940   0.440
 5733   158  15.790   0.630   0.330
 5734   158  15.590   1.060   0.340
 5735   158  13.100   0.620   0.130
 5736   158  13.220   0.830   0.250
 5737   158  15.410   1.080   0.630
 5738   158  16.110   0.750   0.380
 5739   158  14.820   0.840   0.330
 5740   158  14.880   0.990   0.270
 5741   158  13.940   0.750   0.170
 5742   158  15.470   0.730   0.460
 5743   158  14.300   0.560   0.120
 5744   158  13.680   0.870   0.370
 5745   158  12.460   0.550   0.090
 5746   158  15.980   0.790   0.470
 5747   158  16.110   0.800   0.280
 5748   158  15.520   0.770   0.260
 5749   158  15.440   0.590   0.490
 5750   158  14.650   0.630   0.330
 5751   158  14.720   0.950   0.300
 5752   158  15.380   0.520   0.440
 5753   158  14.280   0.830   0.290
 5754   158  15.440   0.890   0.330
 5755   158  10.610   0.260  -0.590
 5756   158  13.370   0.840   0.410
 5757   158  15.990   0.850   0.410
 5758   158  13.160   1.390   1.070
 5759   158  10.480   0.330  -0.240
 5760   158  15.110   0.950   0.240
 5761   158  10.980   0.340  -0.160
 5762   158  16.070   1.140   0.450
 5763   158  13.900   0.820   0.130
 5764   158  15.530   0.900   0.260
 5765   158  15.230   0.880   0.340
 5766   158  13.610   1.460   1.010
 5767   158  14.970   0.830   0.340
 5768   158  15.110   0.680   0.370
 5769   158  15.770   0.800   0.100
 5770   158  15.670   0.930   0.340
 5771   158  15.300   0.870   0.380
 5772   158  15.580   0.930   0.100
 5773   158  10.290   1.230   1.090
 5774   158  15.480   0.710   0.440
 5775   158  15.520   0.760   0.450
 5776   158  15.260   0.810   0.320
 5777   158  15.430   0.550   0.400
 5778   158  13.520   0.560   0.190
 5779   158  15.550   0.880   0.300
 5780   158  14.050   0.730   0.360
 5781   158  15.430   0.830   0.150
 5782   158  14.880   0.980   0.280
 5783   158  15.190   1.080   0.750
 5784   158  14.090   0.650  -0.140
 5785   158  15.010   1.090   0.490
 5786   158  13.460   1.460   1.270
 5787   158  14.670   0.990   0.490
 5788   158  14.230   0.630   0.430
 5789   158  13.260   0.560   0.170
 5790   158  14.900   0.980   0.300
 5791   158  12.330   0.510   0.100
 5792   158  14.300   0.420   0.150
 5793   158  14.630   0.760   0.510
 5794   158  14.730   0.990   0.310
 5795   158  14.320   0.870   0.080
 5796   158  12.350   0.860   0.420
 5797   158  15.820   0.960   0.120
 5798   158  14.770   1.070   0.740
 5799   158  14.380   0.970   0.540
 5800   158  16.020   0.950   0.320
 5801   158  12.830   0.940   0.600
 5802   158  14.690   1.140   0.720
 5803   158  13.240   0.560   0.360
 5804   158  10.600   0.460   0.150
 5805   158  14.640   1.040   0.460
 5806   158  14.590   0.690   0.510
 5807   158  15.380   0.680   0.450
 5808   158  12.790   1.400   1.090
 5809   158  14.790   0.680   0.460
 5810   158  14.800   0.710   0.430
 5811   158  15.780   0.660   0.400
 5812   158  13.310   0.430   0.260
 5813   158  14.720   0.930   0.550
 5814   158  14.480   0.930   0.330
 5815   158  14.110   0.830   0.490
 5816   158  12.270   0.540   0.130
 5817   158  15.750   0.940   0.680
 5818   158  15.920   0.760   0.280
 5819   158  14.160   0.810   0.280
 5820   158  13.850   0.780   0.220
 5821   158  14.420   1.220   0.710
 5822   158  15.470   0.920   0.240
 5823   158  13.130   1.380   1.170
 5824   158  13.900   1.460   1.300
 5825   158  14.840   0.640   0.390
 5826   158  13.280   0.750   0.240
 5827   158  13.910   0.650   0.350
 5828   158  15.920   1.080   0.190
 5829   158  15.090   0.850   0.500
 5830   158  14.960   0.880   0.570
 5831   158  14.650   0.650   0.590
 5832   158  14.220   0.820   0.190
 5833   158  13.310   1.520   1.280
 5835   158  13.020   0.540  -0.280
 5836   158  14.180   0.770   0.200
 5837   158  14.470   0.810   0.320
 5838   158  15.370   0.980   0.190
 5840   158  15.120   0.750   0.420
 5841   158  15.460   0.880   0.380
 5846   158  15.200   1.020   0.320
 5847   158  15.480   0.620   0.170
 5853   158  15.290   0.710   0.360
 5854   158  15.450   0.820   0.380
 5855   158  15.350   0.900   0.220
 5857   158  14.280   0.860   0.240
 5859   158  12.700   0.750   0.200
 5861   158  15.500   1.010   0.150
 5863   158  14.910   0.850   0.190
 5865   158  15.270   0.960   0.260
 5869   158  14.300   0.640   0.380
 5870   158  13.710   0.860   0.370
 5886   158  14.360   1.010   0.480
 5889   158  15.480   0.870   0.700

