  No    Ref    V       B-V     U-B
 0320   158  15.820   0.850   0.450
 0321   158  15.060   1.040   0.310
 0329   158  14.310   0.930   0.290
 0331   158  15.280   0.870   0.420
 0342   158  12.940   0.350   0.180
 0343   158  16.170   0.680   0.090
 0344   158  13.500   0.460   0.300
 0347   158  12.700   0.550   0.070
 0349   158  14.820   0.860   0.360
 0350   158  14.420   1.040   0.450
 1101   158  15.680   1.020   0.530
 1102   158  15.510   0.880   0.450
 1105   158  15.000   0.950   0.280
 1107   158  15.170   1.000   0.360
 1108   158  13.190   0.600   0.450
 1109   158  15.420   0.660   0.630
 1110   158  15.450   0.870   0.410
 1111   158  15.650   0.800   0.420
 1114   158  15.340   1.430   0.460
 1116   158  15.730   0.780   0.560
 1117   158  15.520   0.990   0.140
 1121   158  13.980   0.920   0.310
 1122   158  13.120   0.650   0.500
 1123   158  15.410   0.850   0.430
 1130   158  13.590   0.560   0.220
 1131   158  14.710   0.520   0.160
 1139   158  16.160   0.740   0.400
 1144   158  15.530   0.810   0.040
 1145   158  15.620   1.280   0.210
 1148   158  15.350   1.120   0.660
 1150   158  14.560   0.610   0.450
 1151   158  14.430   0.820   0.190
 1153   158  13.910   0.880   0.330
 1154   158  14.070   0.970   0.440
 1155   158  13.210   0.630   0.510
 1158   158  13.480   0.810   0.270
 1203   158  13.130   1.450   1.190
 1209   158  15.340   0.740   0.220
 1214   158  15.190   0.880   0.580
 1225   158  14.070   0.820   0.360
 1227   158  16.360   0.590   0.420
 1228   158  14.980   0.540   0.340
 1234   158  15.390   1.040   0.390
 1240   158  14.120   1.520   1.230
 1243   158  15.070   0.510   0.190
 1249   158  15.310   1.060   0.560
 1251   158  15.310   0.520   0.300
 1252   158  12.410   1.740   1.970
 1255   158  16.000   0.720   0.430
 1257   158  15.770   0.930   0.330
 1260   158  15.260   0.720   0.480
 1263   158  15.470   0.860   0.390
 1264   158  14.660   0.750   0.400
 1265   158  14.200   0.770   0.330
 1266   158  15.470   0.690   0.590
 1270   158  15.370   0.620   0.530
 1271   158  13.580   0.670   0.030
 1272   158  14.850   1.020   0.460
 1273   158  13.110   0.680   0.120
 1274   158  15.400   0.700   0.330
 1277   158  14.340   0.520   0.440
 1279   158  14.550   0.620   0.320
 1302   158  13.810   0.670   0.400
 1304   158  13.710   1.340   0.890
 1306   158  13.370   0.450   0.230
 1308   158  16.210   0.750   0.700
 1315   158  16.060   1.120   0.040
 1316   158  14.510   1.510   1.310
 1318   158  15.430   0.500   0.600
 1335   158  14.910   0.910   0.470
 1341   158  14.530   0.580   0.380
 1342   158  13.940   0.810   0.240
 1347   158  14.540   1.420   1.280
 1353   158  14.020   1.390   1.040
 1354   158  15.000   0.700   0.360
 1355   158  14.800   0.940   0.260
 1358   158  15.110   0.620   0.250
 1361   158  14.250   1.540   1.120
 1364   158  15.720   0.710   0.370
 1366   158  14.760   0.900   0.410
 1367   158  14.690   0.920   0.420
 1368   158  13.900   1.230   1.180
 1369   158  15.400   0.860   0.410
 1371   158  13.750   0.450   0.210
 2105   158  13.390   0.600   0.470
 2106   158  16.240   1.330   0.140
 2107   158  15.400   0.980   0.540
 2108   158  14.640   1.030   0.520
 2109   158  15.870   0.950   0.500
 2111   158  15.670   1.030   0.280
 2112   158  15.240   1.050   0.610
 2114   158  15.750   1.000   0.210
 2116   158  15.480   0.920   0.200
 2118   158  15.670   0.830   0.090
 2120   158  15.790   1.310  -0.080
 2121   158  15.950   1.040   0.160
 2125   158  15.450   1.010   0.400
 2128   158  14.540   0.790   0.030
 2129   158  13.530   0.740   0.210
 2130   158  14.380   0.690   0.320
 2137   158  15.540   1.050   0.410
 2151   158  16.100   1.280   0.350
 2154   158  15.860   1.150   0.140
 2207   158  15.760   0.770   0.440
 2209   158  15.830   1.000   0.350
 2211   158  15.050   0.680   0.420
 2220   158  14.960   0.470   0.210
 2228   158  16.000   0.800   0.320
 2245   158  15.510   1.180   0.780
 2249   158  14.720   1.550   0.510
 2255   158  14.550   1.280   0.940
 2258   158  15.020   0.900   0.380
 2264   158  15.750   0.910   0.790
 2268   158  14.410   0.630   0.010
 2269   158  15.560   0.870   0.290
 2275   158  14.980   0.650   0.490
 2282   158  14.880   0.560   0.330
 2284   158  14.850   0.730   0.280
 2291   158  14.450   0.620   0.400
 2292   158  14.580   0.600   0.140
 2301   158  16.080   0.880   0.380
 2305   158  15.490   0.980   0.140
 2306   158  14.010   0.650   0.420
 2310   158  13.710   0.810   0.360
 2311   158  13.410   0.860   0.340
 2318   158  15.040   0.970   0.250
 2319   158  15.940   0.960   0.160
 2325   158  15.370   1.060   0.400
 2326   158  14.230   0.840  -0.110
 2331   158  15.650   1.110   0.320
 2337   158  14.550   0.940   0.330
 2338   158  13.540   1.430   1.210
 2342   158  13.980   0.740   0.170
 2343   158  14.510   0.990   0.430
 2344   158  14.980   0.780   0.430
 2348   158  14.780   1.290   0.670
 2350   158  15.540   0.760   0.380
 2351   158  15.320   0.920   0.310
 3101   158  13.560   1.600   1.290
 3103   158  15.330   1.270   0.620
 3104   158  15.160   1.060   0.450
 3107   158  15.260   1.050   0.290
 3108   158  15.700   0.760   0.700
 3109   158  15.060   0.820   0.440
 3110   158  14.980   0.860   0.300
 3112   158  15.620   0.970   0.310
 3115   158  14.090   1.470   1.270
 3116   158  13.870   0.800   0.190
 3118   158  13.920   0.750   0.170
 3120   158  15.350   0.920   0.230
 3121   158  15.230   0.890   0.350
 3127   158  14.820   1.030   0.550
 3129   158  15.380   1.130   0.360
 3131   158  14.840   1.010   0.380
 3132   158  15.600   0.750   0.650
 3133   158  14.470   0.950   0.590
 3137   158  15.170   0.910   0.300
 3138   158  13.920   0.730   0.500
 3203   158  15.070   0.830   0.410
 3205   158  15.200   0.830   0.410
 3206   158  14.890   1.020   0.440
 3208   158  15.690   1.000   0.290
 3209   158  14.820   1.070   0.540
 3210   158  15.510   0.870   0.440
 3211   158  15.250   1.350   0.100
 3214   158  13.690   1.100   0.940
 3216   158  15.670   0.880   0.440
 3217   158  14.750   0.910   0.230
 3220   158  14.040   0.850   0.260
 3221   158  15.210   1.070   0.520
 3222   158  15.570   0.870   0.440
 3224   158  15.390   1.050   0.410
 3225   158  14.940   0.740   0.380
 3226   158  15.680   0.860   0.560
 3233   158  13.450   0.860   0.290
 3238   158  14.890   0.770   0.420
 3239   158  14.720   0.740   0.500
 3241   158  13.900   0.730   0.110
 3242   158  13.990   1.610   1.430
